capricious	given to sudden and unaccountable changes of mood or behavior	a capricious and often brutal administration	a capricious climate	 	 	 	fickle, inconstant, changeable, variable, unstable, mercurial, volatile, erratic, vacillating, irregular, inconsistent, fitful, arbitrary	[sound:capricious.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
obstinate	stubbornly refusing to change one's opinion or chosen course of action, despite attempts to persuade one to do so	her obstinate determination to pursue a career in radio	the obstinate problem of unemployment	 	 	 	stubborn, headstrong, wilful, unyielding, inflexible, unbending, intransigent, intractable, obdurate, mulish, stubborn as a mule, pig-headed, bull-headed, self-willed, strong-minded, strong-willed, contrary, perverse, recalcitrant, refractory, uncooperative, unmanageable, cross-grained, stiff-necked, stiff, rigid, steely, iron-willed, uncompromising, implacable, relentless, unrelenting, unpersuadable, immovable, unmalleable, unshakeable, inexorable, with one's feet dug in, with one's toes dug in, persistent, persevering, tenacious, pertinacious, dogged, single-minded, adamant, firm, steadfast, determined	[sound:obstinate.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
ephemeral	lasting for a very short time	fashions are ephemeral	chickweed is an ephemeral weed, producing several generations in one season	ephemerals avoid the periods of drought as seeds	 	 	transitory, transient, fleeting, passing, short-lived, momentary, brief, short, cursory, temporary, impermanent, short-term	[sound:ephemeral.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
irascible	having or showing a tendency to be easily angered	an irascible man	 	 	 	 	irritable, quick-tempered, short-tempered, bad-tempered, ill-tempered, hot-tempered, thin-skinned, snappy, snappish, tetchy, testy, touchy, edgy, crabby, waspish, dyspeptic	[sound:irascible.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
banal	so lacking in originality as to be obvious and boring	songs with banal, repeated words	 	 	 	 	trite, hackneyed, clichéd, platitudinous, vapid, commonplace, ordinary, common, stock, conventional, stereotyped, predictable, overused, overdone, overworked, stale, worn out, time-worn, tired, threadbare, hoary, hack, unimaginative, unoriginal, derivative, uninspired, prosaic, dull, boring, pedestrian, run-of-the-mill, routine, humdrum	[sound:banal.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
reticent	not revealing one's thoughts or feelings readily	she was extremely reticent about her personal affairs	 	 	 	 	reserved, withdrawn, introverted, restrained, inhibited, diffident, shy, modest, unassuming, shrinking, distant, undemonstrative, wouldn't say boo to a goose	[sound:reticent.mp3]	prep_scholar greenlight_basic gregmat powerscore manhattan magoosh vince rank_7
insipid	lacking flavor	mugs of insipid coffee	many artists continued to churn out insipid, shallow works	 	 	 	tasteless, flavourless, unflavoured, savourless, bland, weak, thin, watery, watered-down, unappetizing, unpalatable, uninteresting, boring, vapid, dull, spiritless, zestless, bloodless, lifeless, characterless, lacking personality, lacking charisma, anaemic, wishy-washy, pathetic, unimaginative, uninspired, uninspiring, characterless, flat, bland, vapid, uninteresting, unexciting, lacklustre, lustreless, dull, prosaic, boring, monotonous, tedious, wearisome, dry, dry as dust, jejune, humdrum, run-of-the-mill, commonplace, pedestrian, trite, banal, tired, hackneyed, stale, lame, tame, poor, inadequate, half-hearted, bloodless, sterile, anaemic, barren	[sound:insipid.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
phlegmatic	(of a person) having an unemotional and stolidly calm disposition	the phlegmatic British character	 	 	 	 	self-possessed, composed, collected, calm, cool, calm, and collected, as cool as a cucumber, cool-headed, self-controlled, poised, tranquil, serene, relaxed, easy-going, unexcitable, even-tempered, placid, sedate, phlegmatic	[sound:phlegmatic.mp3]	prep_scholar greenlight_advanced gregmat powerscore manhattan magoosh vince rank_7
audacious	showing a willingness to take surprisingly bold risks	a series of audacious takeovers	an audacious remark	 	 	 	bold, daring, fearless, intrepid, brave, unafraid, unflinching, courageous, valiant, valorous, heroic, dashing, plucky, daredevil, devil-may-care, death-or-glory, reckless, wild, madcap, impudent, impertinent, insolent, presumptuous, forward, cheeky, irreverent, discourteous, disrespectful, insubordinate, ill-mannered, bad-mannered, unmannerly, mannerless, rude, crude, brazen, brazen-faced, brash, shameless, pert, defiant, bold, bold as brass, outrageous, shocking, out of line	[sound:audacious.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
perfunctory	(of an action or gesture) carried out with a minimum of effort or reflection	he gave a perfunctory nod	 	 	 	 	cursory, desultory	[sound:perfunctory.mp3]	prep_scholar greenlight_advanced gregmat powerscore manhattan magoosh vince rank_7
derivative	(typically of an artist or work of art) imitative of the work of another person, and usually disapproved of for that reason	an artist who is not in the slightest bit derivative	Darwin's work is derivative of the moral philosophers	equity-based derivative products	a derivative of the system was chosen for the Marine Corps’ V-22 tilt rotor aircraft	the derivatives market	imitative, unoriginal, uninventive, non-innovative, unimaginative, uninspired, by-product, spin-off, offshoot, subsidiary product, derived word, descendant, by-product, spin-off, offshoot, subsidiary product	[sound:derivative.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
repudiate	refuse to accept or be associated with	she has repudiated policies associated with previous party leaders	the minister repudiated allegations of human rights abuses	breach of a condition gives the other party the right to repudiate a contract	 	 	reject, renounce, abandon, forswear, give up, turn one's back on, have nothing more to do with, wash one's hands of, have no more truck with, abjure, disavow, recant, desert, discard, disown, cast off, lay aside, cut off, rebuff, deny, refute, contradict, rebut, dispute, disclaim, disavow, cancel, set aside, revoke, rescind, reverse, retract, overrule, override, overturn, invalidate, nullify, declare null and void, abrogate, divorce, end one's marriage to	[sound:repudiate.mp3]	prep_scholar greenlight_basic gregmat powerscore manhattan magoosh vince rank_7
immutable	unchanging over time or unable to be changed	an immutable fact	 	 	 	 	unchangeable, fixed, set, rigid, inflexible, unyielding, unbending, permanent, entrenched, established, well established, unshakeable, irremovable, indelible, ineradicable	[sound:immutable.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
lucid	expressed clearly; easy to understand	a lucid account	write in a clear and lucid style	he has a few lucid moments every now and then	birds dipped their wings in the lucid flow of air	 	intelligible, comprehensible, understandable, cogent, coherent, communicative, articulate, eloquent, rational, sane, in one's right mind, in possession of one's faculties, of sound mind, able to think clearly, bright, shining, gleaming, luminous, radiant, brilliant, glowing, dazzling, lustrous, luminescent, phosphorescent	[sound:lucid.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
craven	contemptibly lacking in courage; cowardly	a craven abdication of his moral duty	 	 	 	 	faint-hearted, lily-livered, chicken-hearted, pigeon-hearted, spiritless, spineless, craven, weakling, namby-pamby, mouse	[sound:craven.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
coalesce	come together to form one mass or whole	the puddles had coalesced into shallow streams	the separate details coalesce to form a single body of scientific thought	to help coalesce the community, they established an office	 	 	unite, join together, combine, merge, fuse, mingle, meld, blend, intermingle, knit, knit together, amalgamate, consolidate, integrate, affiliate, link up, homogenize, synthesize, converge	[sound:coalesce.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
didactic	intended to teach, particularly in having moral instruction as an ulterior motive	a didactic novel that set out to expose social injustice	slow-paced, didactic lecturing	 	 	 	instructive, instructional, educational, educative, informative, informational, doctrinal, preceptive, teaching, pedagogic, academic, scholastic, tuitional, learned, cerebral, didactic, bookish, pedagogic, donnish, highbrow, ivory-tower, pretentious, pompous	[sound:didactic.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
pristine	in its original condition; unspoiled	pristine copies of an early magazine	a pristine white shirt	 	 	 	immaculate, in perfect condition, perfect, in mint condition, as new, unspoiled, spotless, flawless, clean, fresh, new, virgin, pure, unused	[sound:pristine.mp3]	prep_scholar greenlight_basic gregmat powerscore manhattan magoosh vince rank_7
prodigal	spending money or resources freely and recklessly; wastefully extravagant	prodigal habits die hard	the dessert was crunchy with brown sugar and prodigal with whipped cream	the government wished to clip the wings of the local authority prodigals	 	 	wasteful, extravagant, spendthrift, improvident, imprudent, immoderate, profligate, thriftless, excessive, intemperate, irresponsible, self-indulgent, reckless, wanton, generous, lavish, liberal, unstinting, unsparing, bountiful, profligate, prodigal, squanderer, waster	[sound:prodigal.mp3]	prep_scholar greenlight_basic gregmat powerscore manhattan magoosh vince rank_7
sedulous	(of a person or action) showing dedication and diligence	he watched himself with the most sedulous care	 	 	 	 	diligent, careful, meticulous, thorough, assiduous, attentive, industrious, laborious, hard-working, conscientious, ultra-careful, punctilious, scrupulous, painstaking, searching, close, elaborate, minute, studious, rigorous, particular	[sound:sedulous.mp3]	prep_scholar greenlight_advanced gregmat powerscore manhattan magoosh vince rank_7
recondite	(of a subject or knowledge) little known; abstruse	the book is full of recondite information	 	 	 	 	obscure, abstruse, arcane, esoteric, little known, recherché, abstract, deep, profound, cryptic, difficult, complex, complicated, involved	[sound:recondite.mp3]	prep_scholar greenlight_advanced gregmat powerscore manhattan magoosh vince rank_7
deride	express contempt for; ridicule	critics derided the proposals as clumsy attempts to find a solution	 	 	 	 	ridicule, mock, jeer at, scoff at, jibe at, make fun of, poke fun at, laugh at, hold up to ridicule, pillory	[sound:deride.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
malleable	(of a metal or other material) able to be hammered or pressed permanently out of shape without breaking or cracking	a malleable metal can be beaten into a sheet	Anna was shaken enough to be malleable	 	 	 	pliable, ductile, plastic, pliant, soft, workable, shapable, mouldable, tractile, tensile, easily influenced, suggestible, susceptible, impressionable, amenable, cooperative, adaptable, compliant, pliable, tractable, accommodating	[sound:malleable.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
hackneyed	(of a phrase or idea) lacking significance through having been overused; unoriginal and trite	hackneyed old sayings	 	 	 	 	overused, overworked, overdone, worn out, time-worn, platitudinous, vapid, stale, tired, threadbare	[sound:hackneyed.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
disparate	essentially different in kind; not allowing comparison	they inhabit disparate worlds of thought	a culturally disparate country	 	 	 	contrasting, different, differing, dissimilar, unlike, unalike, poles apart	[sound:disparate.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
diatribe	a forceful and bitter verbal attack against someone or something	a diatribe against the Roman Catholic Church	 	 	 	 	tirade, harangue, verbal onslaught, verbal attack, stream of abuse, denunciation, broadside, fulmination, condemnation, criticism, stricture, reproof, reproval, reprimand, rebuke, admonishment, admonition	[sound:diatribe.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
inimical	tending to obstruct or harm	actions inimical to our interests	an inimical alien power	 	 	 	harmful, injurious, detrimental, deleterious, pernicious, damaging, hurtful, dangerous, destructive, ruinous, calamitous, hostile, unfriendly, antagonistic, ill-disposed, unkind, unsympathetic, malevolent, malign	[sound:inimical.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
facetious	treating serious issues with deliberately inappropriate humor; flippant	a facetious remark	 	 	 	 	flippant, flip, glib, frivolous, tongue-in-cheek, waggish, whimsical, joking, jokey, jesting, jocular, playful, roguish, impish, teasing, arch, mischievous, puckish	[sound:facetious.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
esoteric	intended for or likely to be understood by only a small number of people with a specialized knowledge or interest	esoteric philosophical debates	 	 	 	 	abstruse, obscure, arcane, recherché, rarefied, recondite, abstract, difficult, hard, puzzling, perplexing, enigmatic, inscrutable, cryptic, Delphic	[sound:esoteric.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
mercurial	(of a person) subject to sudden or unpredictable changes of mood or mind	his mercurial temperament	gels containing organic mercurial compounds	for twenty years organic mercurials were the most potent diuretics in clinical use	 	 	volatile, capricious, temperamental, excitable, fickle, changeable, unpredictable, variable, protean, mutable, erratic, quicksilver, inconstant, inconsistent, unstable, unsteady, fluctuating, ever-changing, kaleidoscopic, fluid, wavering, vacillating, moody, flighty, wayward, whimsical, giddy, impulsive	[sound:mercurial.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
aesthetic	concerned with beauty or the appreciation of beauty	the pictures give great aesthetic pleasure	the law applies to both functional and aesthetic objects	the Cubist aesthetic	 	 	decorative, ornamental, graceful, elegant, exquisite, beautiful, attractive, pleasing, lovely, stylish, artistic, tasteful, in good taste	[sound:aesthetic.mp3]	prep_scholar powerscore greenlight_basic magoosh gregmat manhattan vince rank_7
refute	prove (a statement or theory) to be wrong or false; disprove	these claims have not been convincingly refuted	his voice challenging his audience to rise and refute him	a spokesman totally refuted the allegation of bias	 	 	disprove, prove false, prove wrong, prove to be false, prove to be wrong, show to be false, show to be wrong, rebut, confute, give the lie to, demolish, explode, debunk, drive a coach and horses through, discredit, invalidate, deny, reject, repudiate, rebut, declare to be untrue	[sound:refute.mp3]	prep_scholar greenlight_basic gregmat powerscore manhattan magoosh vince rank_7
laconic	(of a person, speech, or style of writing) using very few words	his laconic reply suggested a lack of interest in the topic	 	 	 	 	brief, concise, terse, succinct, short, economical, elliptical, crisp, pithy, to the point, incisive, short and sweet, compendious, taciturn, of few words, uncommunicative, reticent, quiet, untalkative, reserved, silent, speechless, tight-lipped, unforthcoming, brusque	[sound:laconic.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
mitigate	make less severe, serious, or painful	he wanted to mitigate misery in the world	there had been a provocation that mitigated the offense to a degree	 	 	 		[sound:mitigate.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
censure	express severe disapproval of (someone or something), especially in a formal statement	a judge was censured in 1983 for a variety of types of injudicious conduct	angry delegates offered a resolution of censure against the offenders	they paid the price in social ostracism and family censure	 	 	condemn, criticize, castigate, chastise, lambast, pillory, savage, attack, find fault with, fulminate against, abuse, condemnation, criticism, attack, abuse, revilement, disapproval	[sound:censure.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
assuage	make (an unpleasant feeling) less intense	the letter assuaged the fears of most members	an opportunity occurred to assuage her desire for knowledge	 	 	 	relieve, ease, alleviate, soothe, mitigate, dampen, allay, calm, palliate, abate, lull, temper, suppress, smother, stifle, subdue, tranquillize, mollify, moderate, modify, tone down, attenuate, dilute, lessen, diminish, decrease, reduce, lower, satisfy, fulfil, gratify, appease, indulge, relieve, slake, sate, satiate, quench, quell, overcome, check, keep in check, dull, blunt, allay, take the edge off, diminish	[sound:assuage.mp3]	prep_scholar powerscore greenlight_basic gregmat manhattan magoosh vince rank_7
diffident	modest or shy because of a lack of self-confidence	a diffident youth	 	 	 	 	shy, bashful, modest, self-effacing, unassuming, unpresuming, humble, meek, unconfident, unassertive, timid, timorous, shrinking, reserved, withdrawn, introverted, inhibited	[sound:diffident.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan magoosh vince rank_7
fortuitous	happening by accident or chance rather than design	the similarity between the paintings may not be simply fortuitous	from a cash standpoint, the company's timing is fortuitous	 	 	 	chance, unexpected, unanticipated, unpredictable, unforeseen, unlooked-for, serendipitous, casual, incidental, coincidental, haphazard, random, accidental, inadvertent, unintentional, unintended, unplanned, unpremeditated, lucky, fortunate, providential, advantageous, timely, opportune, serendipitous, expedient, heaven-sent, auspicious, propitious, felicitous, convenient, apt	[sound:fortuitous.mp3]	prep_scholar prep_scholar greenlight_basic powerscore manhattan magoosh vince rank_7
obsequious	obedient or attentive to an excessive or servile degree	they were served by obsequious waiters	 	 	 	 	servile, ingratiating, unctuous, sycophantic, fawning, toadying, oily, oleaginous, greasy, grovelling, cringing, toadyish, sycophantish, subservient, submissive, slavish, abject, Uriah Heepish	[sound:obsequious.mp3]	prep_scholar greenlight_basic powerscore gregmat manhattan magoosh vince rank_7
platitude	a remark or statement, especially one with a moral content, that has been used too often to be interesting or thoughtful	she began uttering liberal platitudes	 	 	 	 	cliché, truism, commonplace, banal saying, hackneyed saying, overworked saying, trite saying, banality, old chestnut	[sound:platitude.mp3]	prep_scholar greenlight_basic gregmat powerscore manhattan magoosh vince rank_7
taciturn	(of a person) reserved or uncommunicative in speech; saying little	after such gatherings she would be taciturn and morose	 	 	 	 	untalkative, uncommunicative, reticent, unforthcoming, quiet, unresponsive, secretive, silent, tight-lipped, close-mouthed, mute, dumb, inarticulate	[sound:taciturn.mp3]	prep_scholar greenlight_basic gregmat powerscore magoosh manhattan vince rank_7
precipitate	cause (an event or situation, typically one that is bad or undesirable) to happen suddenly, unexpectedly, or prematurely	the incident precipitated a political crisis	suddenly the ladder broke, precipitating them down into a heap	they were precipitated into a conflict for which they were quite unprepared	cell proteins were then precipitated and washed in 10% trichloroacetic acid	excess moisture is precipitated as rain, fog, mist, or dew	bring about, bring on, cause, lead to, occasion, give rise to, trigger, spark, touch off, provoke, hasten, accelerate, expedite, speed up, advance, quicken, push forward, further, instigate, induce, hurl, catapult, throw, plunge, launch, project, fling, cast, heave, propel, precipitate, liquefy, become liquid, deliquesce, liquidize, hasty, overhasty, rash, hurried, rushed, sudden, rapid, swift, abrupt, meteoric, headlong, speedy, quick, fast, hurried, breakneck, violent, precipitous, unexpected, without warning, unanticipated, unforeseen	[sound:precipitate.mp3]	prep_scholar greenlight_basic gregmat powerscore manhattan magoosh rank_6
prevaricate	speak or act in an evasive way	he seemed to prevaricate when journalists asked pointed questions	 	 	 	 	prevaricate, be evasive, be non-committal, be vague, be ambiguous, dodge the issue, evade the issue, beat about the bush, hedge, hedge one's bets, fudge the issue	[sound:prevaricate.mp3]	prep_scholar greenlight_advanced gregmat powerscore manhattan magoosh rank_6
attenuate	reduce the force, effect, or value of	her intolerance was attenuated by an unexpected liberalism	the filter must severely attenuate frequencies above 10 Hz	the first live vaccine was insufficiently attenuated and produced a significant disease	the doctrines of Christianity became very attenuate and distorted	 	weakened, reduced, lessened, decreased, diminished, impaired, enervated, weakened, reduced, lessened, decreased, diminished, impaired, enervated, thin, slender, slim, skinny, spindly, bony, gaunt, skeletal, thin, slender, slim, skinny, spindly, bony, gaunt, skeletal	[sound:attenuate.mp3]	greenlight_advanced powerscore gregmat manhattan magoosh vince rank_6
placate	make (someone) less angry or hostile	they attempted to placate the students with promises	 	 	 	 	appease, placate, pacify, mollify, propitiate, assuage, calm down, soothe, humour, reconcile, disarm, win over, make peace with	[sound:placate.mp3]	prep_scholar greenlight_basic gregmat manhattan magoosh vince rank_6
proliferate	increase rapidly in numbers; multiply	the science fiction magazines that proliferated in the 1920s	the Mediterranean faces an ecological disaster if the seaweed continues to proliferate at its present rate	electromagnetic radiation can only proliferate cancers already present	 	 	increase rapidly, grow rapidly, multiply, become more numerous, mushroom, snowball, burgeon, escalate, rocket, run riot, reproduce, multiply, proliferate, breed, procreate, increase, spawn	[sound:proliferate.mp3]	prep_scholar greenlight_basic gregmat powerscore manhattan vince rank_6
benign	gentle and kindly	his benign but firm manner	her face was calm and benign	the climate becomes more benign as we move nearer to the Black Sea	an ozone-benign refrigerant	a benign condition	kindly, kind, warm-hearted, good-natured, friendly, warm, affectionate, agreeable, amiable, good-humoured, genial, congenial, cordial, approachable, tender, tender-hearted, soft-hearted, gentle, sympathetic, compassionate, caring, considerate, thoughtful, helpful, well disposed, obliging, accommodating, generous, big-hearted, unselfish, benevolent, gracious, liberal, indulgent, temperate, mild, gentle, clement, calm, balmy, pleasant, agreeable, soft, soothing, refreshing, favourable, advantageous, beneficial, harmless, non-malignant, non-cancerous, non-dangerous, innocent	[sound:benign.mp3]	prep_scholar greenlight_basic gregmat manhattan magoosh vince rank_6
fractious	(typically of children) irritable and quarrelsome	they fight and squabble like fractious children	the fractious coalition of Social Democrats	 	 	 	grumpy, grouchy, crotchety, in a mood, in a bad mood, cantankerous, bad-tempered, ill-tempered, ill-natured, ill-humoured, peevish, having got out of bed on the wrong side, cross, disagreeable, pettish, wayward, unruly, uncontrollable, unmanageable, out of hand, obstreperous, difficult, headstrong, refractory, recalcitrant, intractable	[sound:fractious.mp3]	greenlight_advanced powerscore gregmat manhattan magoosh vince rank_6
puerile	childishly silly and trivial	you're making puerile excuses	 	 	 	 	immature, babyish, infantile, juvenile, puerile	[sound:puerile.mp3]	greenlight_advanced gregmat powerscore manhattan magoosh vince rank_6
supplant	supersede and replace	another discovery could supplant the original finding	 	 	 	 	replace, displace, supersede, take the place of, take over from, substitute for, undermine, override, oust, usurp, overthrow, remove, topple, unseat, depose, dethrone, eject, dispel	[sound:supplant.mp3]	prep_scholar greenlight_basic powerscore magoosh manhattan vince rank_6
amenable	(of a person) open and responsive to suggestion; easily persuaded or controlled	parents who have had easy babies and amenable children	the patients had cardiac failure not amenable to medical treatment	 	 	 	compliant, acquiescent, biddable, manageable, controllable, governable, persuadable, tractable, responsive, pliant, flexible, malleable, complaisant, accommodating, docile, submissive, obedient, tame, meek, easily handled, susceptible, receptive, responsive, reactive, vulnerable	[sound:amenable.mp3]	prep_scholar powerscore magoosh greenlight_basic gregmat vince rank_6
acumen	the ability to make good judgments and quick decisions, typically in a particular domain	business acumen	 	 	 	 	astuteness, awareness, shrewdness, acuity, sharpness, sharp-wittedness, cleverness, brightness, smartness	[sound:acumen.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan vince rank_6
egregious	outstandingly bad; shocking	egregious abuses of copyright	 	 	 	 	shocking, horrific, horrifying, horrible, terrible, awful, dreadful, ghastly, hideous, horrendous, frightful, atrocious, abominable, abhorrent, outrageous, hateful, loathsome, odious, gruesome, grisly, monstrous, nightmarish, heinous, harrowing, dire, vile, shameful, unspeakable, unforgivable, unpardonable	[sound:egregious.mp3]	greenlight_advanced powerscore gregmat manhattan magoosh vince rank_6
tirade	a long, angry speech of criticism or accusation	a tirade of abuse	 	 	 	 	diatribe, invective, polemic, denunciation, rant, broadside, attack, harangue, verbal onslaught	[sound:tirade.mp3]	prep_scholar greenlight_basic gregmat magoosh manhattan vince rank_6
ubiquitous	present, appearing, or found everywhere	his ubiquitous influence was felt by all the family	cowboy hats are ubiquitous among the male singers	 	 	 	omnipresent, ever-present, present everywhere, everywhere, all-over, all over the place, pervasive, all-pervasive, universal, worldwide, global	[sound:ubiquitous.mp3]	prep_scholar greenlight_advanced gregmat powerscore manhattan vince rank_6
impugn	dispute the truth, validity, or honesty of (a statement or motive); call into question	the father does not impugn her capacity as a good mother	 	 	 	 	call into question, challenge, question, dispute, query, take issue with, impeach	[sound:impugn.mp3]	greenlight_advanced powerscore gregmat manhattan magoosh vince rank_6
chicanery	the use of trickery to achieve a political, financial, or legal purpose	an underhanded person who schemes corruption and political chicanery behind closed doors	 	 	 	 	trickery, deception, deceit, deceitfulness, duplicity, dishonesty, unscrupulousness, underhandedness, subterfuge, fraud, fraudulence, legerdemain, sophistry, sharp practice, skulduggery, swindling, cheating, duping, hoodwinking	[sound:chicanery.mp3]	prep_scholar greenlight_advanced powerscore gregmat manhattan vince rank_6
